Name,Affiliation,Homepage,Email_Domain,Scholar_ID,Interests,Citedby,Citedby5y,hindex,hindex5y,i10index,i10index5y,url_picture
Fei Liu,Emory University,https://www.cs.emory.edu/~fliu40,@emory.edu,22ohn6AAAAAJ,"Natural Language Generation, LLM Inference, Reasoning, Deep Learning, Generative AI",5555,3803,40,33,67,62,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=22ohn6AAAAAJ&citpid=73
Yolanda Rankin,"Department of Computer Science, Emory University",,@emory.edu,RxcQjoYAAAAJ,"HCI, CS education, gaming",2202,1485,22,19,34,24,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RxcQjoYAAAAJ&citpid=1
Kai Shu,"Assistant Professor of Computer Science, Emory University",https://www.cs.emory.edu/~kshu5/,@emory.edu,-6bAV2cAAAAJ,"Data Mining, Trustworthy AI, Social Computing, Machine Learning, AI Safety",16164,14912,46,46,91,91,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-6bAV2cAAAAJ&citpid=8
Shengpu Tang,"Assistant Professor of Computer Science, Emory University",https://shengpu-tang.me/,@emory.edu,a_z5a5wAAAAJ,"Artificial Intelligence, Machine learning, Reinforcement learning, Healthcare",585,585,10,10,10,10,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=a_z5a5wAAAAJ&citpid=6
Emily Wall,Emory University,http://emilywall.github.io/,@emory.edu,YfcphqMAAAAJ,"visual analytics, information visualization, cognitive bias, decision making",872,742,13,13,15,14,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YfcphqMAAAAJ&citpid=5
Kristin Williams,Emory University,https://www.cs.emory.edu/~kwil271,@emory.edu,yGtJEDsAAAAJ,Human-Computer Interaction,433,384,11,11,11,11,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yGtJEDsAAAAJ&citpid=3
Li Xiong,"Samuel Dobbs Professor, Computer Science, Biomedical Informatics, Emory University",http://www.cs.emory.edu/~lxiong,@emory.edu,jJ8BLgsAAAAJ,"Machine learning, privacy enhancing technology, AI for health, mobility data",20950,13147,56,42,163,123,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jJ8BLgsAAAAJ&citpid=14
Carl J. Yang,Assistant Professor of Computer Science at Emory University,https://cs.emory.edu/~jyang71/,@emory.edu,mOINlwcAAAAJ,"graph data mining, applied machine learning, knowledge graphs, federated learning",5929,5635,40,37,102,100,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mOINlwcAAAAJ&citpid=3
Liang Zhao,Emory University,http://mason.gmu.edu/~lzhao9/,@emory.edu,qnvyqtwAAAAJ,"data mining, machine learning, spatial data mining, graph neural networks, generative AI",7727,6707,41,38,142,135,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qnvyqtwAAAAJ&citpid=2
Andreas Züfle,Associate Professor at Emory University,http://www.zuefle.org/,@emory.edu,s-FDyf4AAAAJ,"Spatial Databases, Data Mining, Geosimulation, Spatial Computing",2788,1314,25,18,74,46,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s-FDyf4AAAAJ&citpid=2
