Author,Title,Year,URL,Abstract
Weihua An,Causal network analysis,2022,https://www.annualreviews.org/content/journals/10.1146/annurev-soc-030320-102100,"Fueled by recent advances in statistical modeling and the rapid growth of network data, social network analysis has become increasingly popular in sociology and related disciplines. However, a significant amount of work in the field has been descriptive and correlational, which prevents the findings from being more rigorously translated into practices and policies. This article provides a review of the popular models and methods for causal network analysis, with a focus on causal inference threats (such as measurement error, missing data, network endogeneity, contextual confounding, simultaneity, and collinearity) and potential solutions (such as instrumental variables, specialized experiments, and leveraging longitudinal data). It covers major models and methods for both network formation and network effects and for both sociocentric networks and egocentric networks. Lastly, this review also discusses future …"
Weihua An,Friendship network formation in Chinese middle schools: Patterns of inequality and homophily,2022,https://www.sciencedirect.com/science/article/pii/S0378873321000599,"Previous studies on adolescent friendship network formation emphasize the roles played by individual characteristics, structural opportunities, and endogenous tie formation processes. This study extends previous studies in three major aspects: 1) developing and testing theories of status differential (i.e., friendship ties are more likely to run from low status subjects to high status subjects than vice versa) and differential homophily (i.e., homophily is stronger between high status subjects than between low status subjects) through modeling tie-mixing effects of individual characteristics, 2) including qualitative analyses to elaborate selected mechanisms, and 3) comparing selected friendship patterns between China and the U.S. The extended framework is applied to analyzing survey data obtained from 4,094 students in six middle schools in China. The results show that friendship ties are unevenly distributed by …"
Weihua An,"You said, they said: A framework on informant accuracy with application to studying self-reports and peer-reports",2022,https://www.sciencedirect.com/science/article/pii/S0378873321001155,"Informants have been used extensively to provide information on others. However, informant accuracy has rarely been systematically studied. In this paper I argue that studying informant accuracy both helps deepen our understanding about how perceptions of others are configured by personal and network factors and helps develop better methods to use informant reports to correct self-reporting bias. I propose a framework (a systematic conceptualization) that links informant accuracy to not only informant characteristics, but also alter characteristics, dyadic characteristics shared by the informant and the alter, and characteristics of the behavior being reported on. I apply the framework to analyzing self-reports and peer-reports of smoking among 4094 middle school students in China. The analyses present novel strategies to validate a behavior when the truth is unknown, confirm previous findings (e.g., central …"
Weihua An,Opening the blackbox of treatment interference: Tracing treatment diffusion through network analysis,2022,https://journals.sagepub.com/doi/abs/10.1177/0049124119852384,"Causal inference under treatment interference is a challenging but important problem. Past studies usually make strong assumptions on the structure of treatment interference in order to estimate causal treatment effects while accounting for the effect of treatment interference. In this article, we view treatment diffusion as a concrete form of treatment interference that is prevalent in social settings and also as an outcome of central interest. Specifically, we analyze data from a smoking prevention intervention conducted with 4,094 students in six middle schools in China. We measure treatment interference by tracing how the distributed intervention brochures are shared by students, which provides information to construct the so-called treatment diffusion networks. Besides providing descriptive analyses, we use exponential random graph models to model the treatment diffusion networks in order to reveal covariates and …"
Weihua An,Methodological advances in quantitative social science: In celebration of the Social Science Research 50th anniversary,2023,https://pubmed.ncbi.nlm.nih.gov/36797000/,"Methodological advances in quantitative social science: In celebration of the Social Science 
Research 50th anniversary Methodological advances in quantitative social science: In 
celebration of the Social Science Research 50th anniversary Soc Sci Res. 2023 Feb:110:102843. 
doi: 10.1016/j.ssresearch.2022.102843. Epub 2022 Dec 15. Authors Weihua An 1 , Shawn 
Bauldry 2 Affiliations 1 Department of Sociology and Department of Quantitative Theory and 
Methods, Emory University, 1555 Dickey Drive, 102 Tarbutton Hall, Atlanta, GA, 30322, 
United States. Electronic address: weihua.an@emory.edu. 2 Department of Sociology, 
Purdue University, 700 W State St, 249 Stone Hall, West Lafayette, IN, 47907, United States. 
Electronic address: sbauldry@purdue.edu. PMID: 36797000 DOI: 10.1016/j.ssresearch.2022.102843 
No abstract available Publication types Historical Article …"
Weihua An,"Fear not scarcity but inequality, not poverty but instability",2021,https://journals.sagepub.com/doi/abs/10.1177/00491241211024295,"This special issue, “New Quantitative Approaches to Studying Social Inequality”, aims to present some of the latest methodological innovations that arise from new analytical methods, innovative study designs, and novel and large-scale data that are particularly useful for studying social inequality. The articles included in the special issue not only showcase methodological innovations but also share the common theme that social inequalities are often interconnected across domains of life, time, space, or different policies."
Weihua An,A tale of twin dependence: a new multivariate regression model and an FGLS estimator for analyzing outcomes with network dependence,2023,https://journals.sagepub.com/doi/abs/10.1177/00491241211031263,"In this article, I present a new multivariate regression model for analyzing outcomes with network dependence. The model is capable to account for two types of outcome dependence including the mean dependence that allows the outcome to depend on selected features of a known dependence network and the error dependence that allows the outcome to be additionally correlated based on patterned connections in the dependence network (e.g., according to whether the ties are asymmetric, mutual, or triadic). For example, when predicting a group of students’ smoking status, the outcome can depend on the students’ positions in their friendship network and also be correlated among friends. I show that analyses ignoring the mean dependence can lead to severe bias in the estimated coefficients while analyses ignoring the error dependence can lead to inefficient inferences and failures in recognizing …"
Weihua An,Characterization of trajectories of physical activity and cigarette smoking from early adolescence to adulthood,2023,https://link.springer.com/article/10.1186/s12889-023-17365-1,"Cigarette smoking and physical inactivity are two critical risk factors for noncommunicable diseases and all-cause mortality. However, few studies have compared the long-term trajectories of both behaviors, as well as multilevel factors associated with trajectory patterns. Using the National Longitudinal Study of Adolescent to Adult Health (Add Health) Wave I through V survey data, this study characterized distinct subgroups of the population sharing similar behavioral patterns from adolescence to adulthood, as well as predictors of subgroup membership for physical activity (PA) and cigarette smoking behavior respectively.Using the Add Health Wave I through V survey data, we identified the optimal number of latent classes and class-specific trajectories of PA and cigarette smoking from early adolescence to adulthood, fitting latent growth mixture models with standardized PA score and past 30 …"
Weihua An,"Race, state surveillance, and policy spillover: Do restrictive immigration policies affect citizen earnings?",2023,https://academic.oup.com/sf/article-abstract/102/2/681/7079025,"This paper investigates whether restrictive immigration policy affects earnings among White, African-American, and Latinx US citizens. Incorporating sociological theories of race that point to state surveillance of Black and Latinx bodies as a linchpin of racial inequality, we ask: Do immigration policies that expand the reach of law enforcement spill over to lower or to raise earnings of employed US citizens? If so, are the effects of these policies greater for Latinx and African-American citizens compared to their White counterparts? Are the effects of these policies stronger among Latinx and African-American men—who are more directly targeted by surveillance policing as a function of their gender—than for co-ethnic women? To investigate these questions, we combine two nationally representative longitudinal datasets—the 1979 National Longitudinal Survey of Youth and the 1997 National Longitudinal Survey of …"
Weihua An,"The nearness between us, and the space within ourselves",2020,https://journals.sagepub.com/doi/abs/10.1177/0190272520973654,"The year 2020 has been unprecedented. As a result of the COVID-19 pandemic, many children have been out of school for more than six months, missing face-toface interaction with their friends, unable to visit with extended family, and experiencing unaccustomed isolation. With little support from kin and friends, pandemic parenting is more than a full-time job. Both challenging and exhausting, the demands of the day leave many parents eager to put their kids to bed, hoping for a reprieve from the day’s events. Amid this fragmenting of relationships, neighbors are rediscovering each other while social distancing outdoors, and others create and experience Zoom memorials for those loved ones who have been lost to COVID-19 or something else. Still others have lost their jobs or have been furloughed and are relying on friends and family for support in ways they could not have imagined before. It is a time of …"
